股票代號,股票名稱,收盤價,K值,D值,RSI,DIF,MACD,柱狀圖,BB上軌,BB中軌,BB下軌,成交量張,5日均量張,量比,市值億,本益比,每股配息,殖利率,更新時間
1216,統一,72.5,45.01,55.02,49.15,-0.36,-0.56,0.2,75.18,73.24,71.31,25315,15698,1.61,4119.46,20.89,3.0,4.14,2026-02-28 15:30:26
1217,愛之味,10.5,46.11,47.89,44.44,0.01,0.01,-0.0,10.76,10.57,10.37,1526,974,1.57,51.92,38.89,0.37,3.52,2026-02-28 15:30:27
1218,泰山,18.3,57.83,48.4,41.38,-0.0,-0.0,0.0,18.62,18.29,17.96,793,685,1.16,89.0,14.08,1.35,7.38,2026-02-28 15:30:28
1219,福壽,13.65,71.69,74.63,66.67,0.03,0.02,0.01,13.68,13.53,13.38,235,339,0.69,46.58,32.5,0.5,3.66,2026-02-28 15:30:30
1220,台榮,13.2,80.41,74.27,65.0,0.12,0.09,0.03,13.2,12.88,12.57,234,233,1.0,23.28,52.8,0.7,5.3,2026-02-28 15:30:31
1225,福懋油,29.7,85.95,74.51,64.79,0.13,-0.04,0.17,29.5,28.66,27.82,333,215,1.55,71.95,21.21,0.14,0.47,2026-02-28 15:30:32
1227,佳格,30.0,78.22,68.89,58.06,0.06,-0.12,0.18,30.29,29.29,28.3,1488,1602,0.93,272.53,20.55,1.4,4.67,2026-02-28 15:30:34
1229,聯華,44.85,26.68,23.24,27.03,-0.51,-0.47,-0.05,47.13,45.64,44.14,2783,2413,1.15,802.24,17.59,1.3,2.9,2026-02-28 15:30:35
1231,聯華食,86.5,8.21,16.22,19.7,-1.68,-1.03,-0.64,97.72,93.05,88.38,1018,913,1.11,258.16,23.96,1.6,1.85,2026-02-28 15:30:36
1232,大統益,151.5,86.56,75.67,74.07,1.51,0.96,0.55,152.09,147.4,142.71,102,126,0.81,242.36,18.84,7.0,4.62,2026-02-28 15:30:37
1233,天仁,33.5,89.72,81.11,90.62,0.24,0.11,0.13,33.17,32.34,31.51,24,49,0.48,30.33,41.88,0.95,2.84,2026-02-28 15:30:38
1234,黑松,37.3,65.22,67.19,59.38,-0.04,-0.1,0.06,37.37,37.07,36.77,137,158,0.87,149.9,19.03,1.9,5.09,2026-02-28 15:30:39
1235,興泰,45.75,71.13,55.64,61.05,-0.17,-0.76,0.6,44.93,41.87,38.81,40,49,0.81,20.8,,0.5,1.09,2026-02-28 15:30:40
1236,宏亞,26.65,61.44,60.43,64.71,0.3,0.29,0.01,27.29,26.01,24.74,143,66,2.16,23.1,,0.6,2.25,2026-02-28 15:30:42
1256,鮮活果汁-KY,156.0,18.81,23.49,48.1,1.05,2.01,-0.96,163.68,158.05,152.42,44,52,0.85,55.8,16.27,4.66,2.99,2026-02-28 15:30:43
1301,台塑,51.6,76.52,63.67,50.64,1.91,1.54,0.37,53.22,47.29,41.36,68478,51182,1.34,3284.72,76.55,0.5,0.97,2026-02-28 15:30:44
1303,南亞,91.8,82.29,72.08,60.11,5.5,4.09,1.41,92.39,79.17,65.94,132781,149763,0.89,7280.5,37.4,0.7,0.76,2026-02-28 15:30:45
1304,台聚,12.3,73.83,62.83,47.96,0.2,0.13,0.08,12.85,11.83,10.8,5955,5895,1.01,131.89,,0.2,1.63,2026-02-28 15:30:47
1305,華夏,12.4,67.77,53.95,46.67,0.16,0.13,0.03,12.93,12.07,11.22,4424,3510,1.26,72.05,,0.15,1.21,2026-02-28 15:30:48
1307,三芳,35.25,77.44,65.48,64.22,0.6,0.11,0.49,35.36,32.39,29.42,2331,3270,0.71,140.23,11.95,2.7,7.66,2026-02-28 15:30:49
1308,亞聚,13.95,72.01,60.81,47.83,0.11,0.06,0.05,14.48,13.68,12.88,1948,1829,1.07,82.83,51.67,0.25,1.79,2026-02-28 15:30:50
1309,台達化,12.45,68.9,59.18,48.84,0.17,0.15,0.02,12.88,12.17,11.45,1496,1795,0.83,49.5,,0.2,1.61,2026-02-28 15:30:51
1310,台苯,9.3,79.03,68.97,57.3,0.09,0.06,0.03,9.31,8.99,8.67,3689,3078,1.2,49.09,35.77,,,2026-02-28 15:30:52
1312,國喬,13.65,76.47,63.55,51.04,0.26,0.22,0.03,14.11,13.2,12.28,6528,9007,0.72,156.58,20.68,,,2026-02-28 15:30:54
1313,聯成,11.15,72.12,57.59,45.83,0.13,0.07,0.05,11.61,10.74,9.87,4618,3946,1.17,148.39,,0.15,1.35,2026-02-28 15:30:55
1314,中石化,8.31,64.17,54.46,51.96,0.05,0.01,0.04,8.47,8.1,7.72,17535,32373,0.54,314.52,4.78,,,2026-02-28 15:30:56
1315,達新,65.3,71.46,65.51,58.33,0.23,0.1,0.14,65.62,64.6,63.58,37,37,1.01,62.38,39.82,4.5,6.89,2026-02-28 15:30:57
1316,上曜,13.65,44.68,43.2,40.0,-0.22,-0.25,0.03,14.43,13.93,13.43,2692,2183,1.23,46.32,62.05,,,2026-02-28 15:30:59
1319,東陽,99.8,12.24,17.4,21.79,-0.41,1.03,-1.44,115.78,107.03,98.27,3828,2812,1.36,590.29,15.28,5.3,5.31,2026-02-28 15:31:00
1321,大洋,33.65,81.91,67.44,53.33,-0.23,-0.34,0.12,33.89,33.37,32.84,129,156,0.82,74.26,,0.38,1.13,2026-02-28 15:31:01
1323,永裕,18.7,64.51,57.71,50.0,-0.12,-0.14,0.02,19.11,18.77,18.43,53,46,1.15,17.07,187.0,0.9,4.81,2026-02-28 15:31:02
1324,地球,10.65,51.26,47.58,40.0,-0.05,-0.05,-0.0,11.12,10.75,10.38,70,84,0.83,8.0,,0.2,1.88,2026-02-28 15:31:03
1325,恆大,29.1,8.75,10.34,16.83,-0.33,-0.18,-0.16,33.55,30.27,26.99,252,502,0.5,24.82,,0.3,1.03,2026-02-28 15:31:04
