股票代號,股票名稱,收盤價,K值,D值,KD狀態,RSI,DIF,MACD,柱狀圖,MACD狀態,BB上軌,BB中軌,BB下軌,BB位置,成交量張,5日均量張,量比,市值億,本益比,EPS,每股配息,殖利率,更新時間,交易日
2705,六福,16.2,18.9,25.34,K<D,47.83,-0.08,-0.07,-0.01,DIF<MACD,16.63,16.35,16.07,23.5,243,318,0.77,30.99,135.0,0.12,,,2026-02-11 23:24:23,
2706,第一店,12.9,52.67,48.97,K>D,53.85,-0.01,-0.02,0.01,DIF>MACD,12.95,12.86,12.76,72.8,112,169,0.66,64.5,22.24,0.58,0.35,2.71,2026-02-11 23:24:24,
2707,晶華,190.0,77.24,63.23,K>D,56.25,-0.02,-0.22,0.2,DIF>MACD,191.15,189.12,187.1,71.6,148,126,1.17,242.07,17.18,11.06,14.36,7.56,2026-02-11 23:24:25,
2712,遠雄來,17.5,38.91,34.49,黃金交叉,50.0,-0.21,-0.23,0.02,DIF>MACD,18.08,17.56,17.03,44.5,33,29,1.12,18.38,,,,,2026-02-11 23:24:26,
2722,夏都,25.45,31.58,31.06,黃金交叉,60.0,-0.15,-0.26,0.11,DIF>MACD,25.99,25.21,24.43,65.4,60,114,0.53,36.44,,,0.15,0.59,2026-02-11 23:24:28,
2723,美食-KY,74.3,42.36,51.24,K<D,40.34,1.03,1.37,-0.34,DIF<MACD,77.26,75.65,74.04,8.1,605,334,1.81,133.74,13.38,,3.0,4.04,2026-02-11 23:24:29,
2727,王品,215.5,59.46,49.23,K>D,36.67,-0.5,-0.4,-0.1,DIF<MACD,221.87,216.7,211.53,38.4,189,195,0.97,178.56,14.56,14.8,14.59,6.77,2026-02-11 23:24:30,
2731,雄獅,175.5,62.12,62.09,K>D,53.42,2.21,1.59,0.62,DIF>MACD,181.76,172.88,163.99,64.8,2067,2459,0.84,163.7,11.36,15.45,7.5,4.27,2026-02-11 23:24:31,
2739,寒舍,33.85,24.34,28.13,K<D,44.71,-0.31,-0.33,0.02,DIF>MACD,34.97,34.19,33.41,28.2,101,190,0.53,30.98,19.8,1.71,1.0,2.95,2026-02-11 23:24:32,
2748,雲品,41.2,51.51,42.38,K>D,42.98,-0.46,-0.52,0.07,DIF>MACD,42.32,41.01,39.7,57.1,146,206,0.71,43.58,17.91,2.3,2.0,4.85,2026-02-11 23:24:33,
2753,八方雲集,184.0,74.39,56.08,K>D,49.06,-1.66,-2.35,0.69,DIF>MACD,187.63,181.45,175.27,70.6,264,234,1.13,122.63,15.69,11.73,10.0,5.43,2026-02-11 23:24:35,
2762,世界健身-KY,73.0,36.41,31.23,K>D,38.75,-0.91,-0.91,0.0,黃金交叉,76.43,73.93,71.44,31.3,82,50,1.62,79.73,26.45,2.76,7.78,10.66,2026-02-11 23:24:36,
2801,彰銀,20.75,82.28,72.48,K>D,72.73,0.04,-0.01,0.04,DIF>MACD,20.71,20.42,20.13,107.8,19404,14385,1.35,2441.45,13.74,1.51,0.5,2.41,2026-02-11 23:24:37,
2812,台中銀,20.45,66.33,57.95,K>D,51.85,-0.11,-0.17,0.06,DIF>MACD,20.9,20.38,19.86,56.5,14401,11078,1.3,1231.42,14.01,1.46,0.39,1.91,2026-02-11 23:24:38,
2816,旺旺保,28.85,56.06,35.7,K>D,46.51,-0.16,-0.16,0.0,黃金交叉,29.76,28.86,27.95,49.7,170,121,1.39,64.51,6.66,4.33,1.5,5.2,2026-02-11 23:24:39,
2820,華票,17.25,87.48,73.4,K>D,78.79,0.06,-0.04,0.1,DIF>MACD,16.92,16.42,15.91,132.0,4124,2105,1.96,231.66,13.69,1.26,0.78,4.52,2026-02-11 23:24:40,
2832,台產,48.9,47.34,33.03,K>D,44.78,-0.47,-0.49,0.02,黃金交叉,50.35,49.12,47.88,41.3,134,159,0.84,86.79,10.63,4.6,7.14,14.6,2026-02-11 23:24:41,
2834,臺企銀,15.8,64.35,45.86,K>D,56.0,-0.09,-0.12,0.03,DIF>MACD,16.01,15.6,15.19,74.0,17968,14760,1.22,1535.45,12.74,1.24,0.2,1.27,2026-02-11 23:24:43,
2836,高雄銀,12.4,83.93,71.05,K>D,65.0,0.01,-0.02,0.04,DIF>MACD,12.31,12.11,11.91,121.0,4423,1837,2.41,228.15,20.0,0.62,0.3,2.42,2026-02-11 23:24:44,
2838,聯邦銀,19.45,89.11,79.69,K>D,79.41,0.03,-0.08,0.12,DIF>MACD,19.3,18.71,18.13,113.1,3026,2271,1.33,844.24,17.37,1.12,0.35,1.8,2026-02-11 23:24:45,
2845,遠東銀,12.6,49.82,34.44,K>D,47.06,-0.07,-0.08,0.01,黃金交叉,12.83,12.56,12.29,57.4,13364,6504,2.05,613.03,14.65,0.86,0.5,3.97,2026-02-11 23:24:46,
2849,安泰銀,13.45,47.37,33.88,K>D,57.14,-0.02,-0.03,0.01,黃金交叉,13.57,13.31,13.05,76.5,262,129,2.02,263.3,19.49,0.69,0.38,2.83,2026-02-11 23:24:47,
2850,新產,114.0,66.72,51.11,K>D,40.0,-0.8,-0.85,0.05,黃金交叉,117.88,114.65,111.42,39.9,199,193,1.03,360.2,10.35,11.01,7.15,6.27,2026-02-11 23:24:49,
2851,中再保,27.45,84.82,72.65,K>D,56.25,0.17,0.12,0.04,DIF>MACD,27.53,27.01,26.49,92.1,1256,1201,1.05,219.71,10.94,2.51,1.9,6.92,2026-02-11 23:24:50,
2852,第一保,27.2,57.71,48.39,K>D,31.03,-0.16,-0.16,-0.0,DIF<MACD,28.19,27.46,26.73,32.2,391,274,1.42,81.92,9.54,2.85,2.1,7.72,2026-02-11 23:24:51,
2855,統一證,29.5,27.19,26.32,黃金交叉,55.56,0.77,0.9,-0.13,DIF<MACD,30.23,28.77,27.31,75.1,9340,6598,1.42,472.42,13.79,2.14,1.1,3.73,2026-02-11 23:24:52,
2867,三商壽,8.02,86.21,76.64,K>D,56.16,0.05,0.04,0.0,DIF>MACD,8.06,7.91,7.75,87.4,33301,18025,1.85,473.14,133.67,0.06,,,2026-02-11 23:24:53,
2880,華南金,34.6,87.96,78.47,K>D,66.27,0.56,0.51,0.06,DIF>MACD,34.32,33.39,32.45,115.0,19571,12056,1.62,4815.27,19.12,1.81,1.25,3.61,2026-02-11 23:24:54,
