股票代號,股票名稱,收盤價,K值,D值,RSI,DIF,MACD,BB上軌,BB下軌,成交量張,量比,市值億,本益比,每股配息,殖利率,更新時間
1711,永光,26.8,,,,,,,,,,,,,,2026-02-25
1712,興農,45.6,,,,,,,,,,,,,,2026-02-25
1713,國化,47.5,,,,,,,,,,,,,,2026-02-25
1714,和桐,9.93,,,,,,,,,,,,,,2026-02-25
1717,長興,62.8,,,,,,,,,,,,,,2026-02-25
1718,中纖,7.22,,,,,,,,,,,,,,2026-02-25
1720,生達,64.7,,,,,,,,,,,,,,2026-02-25
1721,三晃,18.5,,,,,,,,,,,,,,2026-02-25
1722,台肥,47.15,,,,,,,,,,,,,,2026-02-25
1723,中碳,72.5,,,,,,,,,,,,,,2026-02-25
1725,元禎,28.0,,,,,,,,,,,,,,2026-02-25
1726,永記,77.4,,,,,,,,,,,,,,2026-02-25
1727,中華化,47.75,,,,,,,,,,,,,,2026-02-25
1730,花仙子,53.5,,,,,,,,,,,,,,2026-02-25
1731,美吾華,22.0,,,,,,,,,,,,,,2026-02-25
1732,毛寶,27.7,,,,,,,,,,,,,,2026-02-25
1733,五鼎,30.4,,,,,,,,,,,,,,2026-02-25
1734,杏輝,30.7,,,,,,,,,,,,,,2026-02-25
1735,日勝化,17.15,,,,,,,,,,,,,,2026-02-25
1736,喬山,140.0,,,,,,,,,,,,,,2026-02-25
1737,臺鹽,31.75,,,,,,,,,,,,,,2026-02-25
1752,南光,36.95,,,,,,,,,,,,,,2026-02-25
1760,寶齡富錦,63.1,,,,,,,,,,,,,,2026-02-25
1762,中化生,27.4,,,,,,,,,,,,,,2026-02-25
1773,勝一,155.0,,,,,,,,,,,,,,2026-02-25
1776,展宇,15.35,,,,,,,,,,,,,,2026-02-25
1783,和康生,44.75,,,,,,,,,,,,,,2026-02-25
1786,科妍,74.1,,,,,,,,,,,,,,2026-02-25
1789,神隆,21.95,,,,,,,,,,,,,,2026-02-25
1795,美時,284.5,,,,,,,,,,,,,,2026-02-25
1802,台玻,61.3,,,,,,,,,,,,,,2026-02-25
1805,寶徠,11.6,,,,,,,,,,,,,,2026-02-25
1806,冠軍,8.97,,,,,,,,,,,,,,2026-02-25
1808,潤隆,30.65,,,,,,,,,,,,,,2026-02-25
1809,中釉,24.25,,,,,,,,,,,,,,2026-02-25
1810,和成,19.25,,,,,,,,,,,,,,2026-02-25
1817,凱撒衛,38.95,,,,,,,,,,,,,,2026-02-25
1903,士紙,53.7,,,,,,,,,,,,,,2026-02-25
