股票代號,股票名稱,收盤價,K值,D值,KD狀態,RSI,DIF,MACD,柱狀圖,MACD狀態,BB上軌,BB中軌,BB下軌,BB位置,成交量張,5日均量張,量比,市值億,本益比,每股配息,殖利率,更新時間,交易日
1339,昭輝,42.92,28.33,25.01,K<D,56.72,-0.2,-0.09,-0.1,DIF<MACD,46.11,43.26,40.41,46.34,46,54,0.37,31.73,20.78,3.0,7.01,2026-02-03 23:24:34,
1340,勝悅-KY,6.37,14.09,29.55,K<D,40.15,-0.12,-0.08,-0.04,DIF<MACD,7.21,6.83,6.45,0.0,109,169,0.79,9.92,,,,2026-02-03 23:24:35,
1341,富林-KY,60.25,57.99,51.64,黃金交叉,45.33,-0.04,-0.05,0.01,黃金交叉,59.13,58.17,57.2,70.71,2,3,0.64,30.97,14.69,5.2,8.87,2026-02-03 23:24:36,
1342,八貫,95.65,31.15,38.55,K<D,44.27,1.08,1.6,-0.51,DIF<MACD,97.37,94.91,92.45,33.83,102,163,0.57,73.4,17.43,4.79,5.09,2026-02-03 23:24:37,
1402,遠東新,28.53,21.78,35.89,K<D,39.23,-0.03,0.06,-0.09,DIF<MACD,28.92,28.29,27.66,12.51,5262,9423,1.03,1487.88,16.75,1.6,5.76,2026-02-03 23:24:39,
1409,新纖,15.05,20.42,30.81,K<D,36.55,-0.04,0.03,-0.07,DIF<MACD,15.76,15.15,14.54,21.72,2366,3254,0.8,237.22,12.25,0.6,4.08,2026-02-03 23:24:40,
1410,南染,33.5,16.67,15.21,K<D,25.46,-0.19,-0.16,-0.03,DIF<MACD,34.28,33.79,33.3,3.25,38,46,1.17,20.65,59.46,0.51,1.53,2026-02-03 23:24:41,
1413,宏洲,10.05,38.36,48.53,K<D,48.13,-0.02,-0.02,0.0,DIF>MACD,10.08,9.92,9.77,10.23,9,19,0.1,12.95,22.27,,,2026-02-03 23:24:42,
1414,東和,18.68,58.43,59.31,K<D,53.01,0.18,0.21,-0.02,DIF<MACD,20.11,19.31,18.51,45.99,1083,620,1.82,34.13,147.31,0.26,1.36,2026-02-03 23:24:43,
1416,廣豐,11.54,43.82,50.86,K<D,42.67,-0.01,-0.01,-0.0,DIF<MACD,11.91,11.76,11.62,54.01,45,420,0.48,21.78,15.06,0.56,4.77,2026-02-03 23:24:44,
