股票代號,股票名稱,收盤價,K值,D值,RSI,DIF,MACD,柱狀圖,BB上軌,BB中軌,BB下軌,成交量張,5日均量張,量比,市值億,本益比,每股配息,殖利率,交易日,更新時間
1434,福懋,16.35,28.01,21.24,35.19,-0.18,-0.08,-0.1,18.43,17.09,15.76,3299,2500,1.32,275.08,32.06,0.8,4.89,2026-03-24,2026-03-24 07:31:33
1435,中福,18.1,13.92,11.58,23.89,-0.94,-0.74,-0.21,24.23,20.36,16.48,1,8,0.14,25.3,,,,2026-03-24,2026-03-24 07:31:33
1436,華友聯,53.5,34.29,46.18,48.67,-1.24,-1.46,0.21,58.38,54.98,51.58,226,275,0.82,103.87,11.19,7.53,14.07,2026-03-24,2026-03-24 07:31:34
1437,勤益控,30.45,22.41,23.21,20.0,-0.53,-0.43,-0.1,33.62,31.67,29.73,23,60,0.39,61.47,12.69,1.83,6.01,2026-03-24,2026-03-24 07:31:35
1438,三地開發,28.7,13.19,19.54,29.37,-0.92,-0.77,-0.15,35.05,31.05,27.05,26,21,1.22,31.92,17.39,,,2026-03-24,2026-03-24 07:31:38
1439,雋揚,27.9,32.85,32.34,38.53,-0.43,-0.49,0.06,30.2,28.25,26.29,22,20,1.05,25.67,8.69,0.3,1.08,2026-03-23,2026-03-24 07:31:38
1440,南紡,12.8,42.93,48.38,52.73,-0.09,-0.12,0.02,13.6,13.01,12.42,1168,1693,0.69,212.07,60.95,0.3,2.34,2026-03-24,2026-03-24 07:31:39
1441,大東,9.92,23.52,21.31,41.03,-0.05,-0.06,0.0,10.14,9.99,9.85,13,27,0.5,7.12,,,,2026-03-24,2026-03-24 07:31:40
1442,名軒,26.5,53.13,54.94,46.49,-0.6,-0.66,0.06,29.34,27.36,25.39,384,662,0.58,97.05,8.75,4.5,16.98,2026-03-24,2026-03-24 07:31:41
1443,立益物流,24.15,3.3,5.17,16.18,-0.7,-0.59,-0.12,28.21,25.67,23.13,6,12,0.49,32.69,21.37,,,2026-03-23,2026-03-24 07:31:41
1444,力麗,6.21,50.12,52.09,55.15,0.0,-0.01,0.02,6.55,6.23,5.91,467,1583,0.3,61.13,22.18,,,2026-03-24,2026-03-24 07:31:43
1445,大宇,12.5,21.31,26.61,37.7,-0.42,-0.33,-0.09,15.13,13.45,11.76,44,48,0.9,16.33,,0.5,4.0,2026-03-24,2026-03-24 07:31:44
1446,宏和,16.95,75.38,79.35,72.6,0.08,-0.1,0.18,17.8,16.27,14.75,273,341,0.8,23.34,10.46,2.0,11.8,2026-03-24,2026-03-24 07:31:45
1447,力鵬,5.1,20.4,33.29,41.72,-0.05,-0.01,-0.04,5.74,5.45,5.17,2171,3645,0.6,43.02,14.17,,,2026-03-24,2026-03-24 07:31:45
